chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
0.975000468,-0.225520251,-1.133696985,-1.419964544,-1.341559119,-0.632041518,-0.583559958,0.898606811,-0.36555379,-0.259207093,0.498143466,-0.21917169,0.767918295,-0.031546746,0.280011952,0.027456606,0.737122991,-0.65748326,0.391056223,0.263060667,0.141072647,0.050127463,0.140086247,-0.207873831,0.149673212,-0.535818512,1
1.138436079,-1.085691041,0.458562126,0.432626327,0.072957596,-0.057713325,-1.792491934,-0.521783218,0.305801765,2.225591235,0.553758441,-0.077718196,1.958146007,0.171966958,1.142643225,1.507862691,0.805571778,0.293050694,1.700986891,0.023959326,1.571898722,1.136404072,1.256854166,0.926503289,1.117960623,0.811247791,1
0.729819768,-0.463493886,1.126955605,0.996398659,1.257854701,1.002515213,0.220042246,-0.866718437,0.23935413,0.073120716,0.819633026,-0.448944346,-0.628427964,-0.775338256,-0.806516928,1.844936071,0.940496708,-0.457561035,-0.106346793,0.455469024,0.717856214,0.509769079,-0.93764423,-0.21843058,0.345348293,-0.942710721,1
0.079311159,-0.968319701,-0.561010738,0.281958529,-0.012494377,-0.915130739,-0.379597542,0.760280805,0.6192387,0.313683796,-0.292719909,1.392900528,-0.774988369,-0.602905877,0.028288106,-1.429298501,-0.2550343,-0.576459692,-1.546115684,-0.915997076,-0.759205367,0.669421601,-1.606791112,-0.906111564,-2.644708212,-1.166570345,0
-0.070380849,-0.531515353,-0.842920295,-0.657276611,-0.7803572,-0.593184489,-1.093765491,-0.620821452,0.69802591,-0.100955272,0.058001976,0.176092845,0.005887184,-0.404979337,-0.401537392,-0.262015361,1.156401612,-0.548311609,-0.01543437,-0.661078629,0.861281664,-0.577521695,-0.526031696,-0.558067823,-0.524245152,-0.962036962,0
0.478781497,0.257264982,0.652941158,-0.757710923,0.023855541,2.353377608,-0.502990354,-1.469849405,-2.308303948,1.523751176,-0.706156627,1.471538497,0.531602843,1.017834108,-0.178776381,-0.8776624,1.109298177,-2.072257973,1.577384238,-1.685341949,-0.125275868,-0.511118472,-1.09538757,-1.192641438,-0.154134167,0.352082926,0
-0.154353061,0.031098302,-1.204954752,-1.408098115,-1.365630109,-0.259258522,-0.275231561,0.704626138,-0.377533624,-1.36384001,0.356338,0.146586222,-0.810050259,-1.291457435,-0.099024589,-0.585206557,0.089887337,-0.775024751,0.704540341,-0.60376455,-0.401649464,0.184065231,0.361248345,-0.131196275,-0.162863359,-0.435647867,0
-1.243325619,-0.593867897,-0.896913764,-1.071812788,-1.007436698,-0.432602485,-0.413154704,0.63145902,-0.241475454,-0.636781446,-0.379722183,0.576489465,-0.151932403,-0.114822982,0.073544343,-1.251903753,0.371627779,-0.260233544,2.264036803,0.413116143,-0.166372388,-0.31929136,-0.260704149,-0.602896336,-2.024059454,-1.006137194,0
-0.60680286,0.640923543,-0.560930638,-0.525655891,-0.546113284,-0.426574013,0.038007179,-0.366670319,0.326740414,0.237507479,-0.959331321,1.475950574,-0.311433353,-0.437625753,-1.117691217,-2.307642025,-2.588999078,-1.824715049,0.840875449,-1.526093991,-0.247949439,-1.091037939,-2.186069633,-1.472089272,-0.243712422,-2.098204006,0
-0.97392637,-0.61631064,-0.181145525,-0.672147486,-0.514166492,0.591142917,-1.30622565,-0.413716848,0.816233218,-0.060049244,0.030903229,0.658171785,-1.074480512,-0.521091167,-0.285422139,-0.931489319,1.00707675,-1.622569174,-0.390480264,-0.880437626,0.492787654,-1.211900892,-0.196052975,0.512033923,0.117095532,-0.239346913,0
