chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
0.663986492,0.188802417,0.186009411,0.211393453,0.213377003,0.208435638,0.459825087,0.626572445,0.481153783,0.228675174,0.653384224,0.548245101,0.620192529,0.392691401,0.523145237,0.456893344,0.716026627,0.307729806,0.629848815,0.62587626,0.692563533,0.474647407,0.409092388,0.438186032,0.425932522,0.20361201,1
0.69228032,0.006359504,0.470884517,0.647177778,0.507308359,0.307875352,0.234930772,0.33371958,0.622753108,0.541053643,0.663706889,0.575375266,0.820859403,0.416674173,0.673667163,0.693234101,0.726436119,0.477305511,0.88872624,0.587726063,0.919656742,0.671561732,0.576059768,0.625083155,0.573523361,0.379163358,1
0.621541026,0.138328018,0.590468485,0.779793754,0.753525606,0.491444302,0.609317011,0.262601601,0.608738268,0.270454038,0.713055724,0.504175704,0.384775024,0.305040387,0.333555055,0.747046483,0.746955108,0.343396025,0.531548641,0.656576282,0.784107595,0.557968743,0.247961475,0.436446728,0.455758222,0.150585314,1
0.50892555,0.03125406,0.288470156,0.611736243,0.489551754,0.159421309,0.497767659,0.598052696,0.688861831,0.300696624,0.50659251,0.857433542,0.360065619,0.325360426,0.479221536,0.224328368,0.565142245,0.322184449,0.247011702,0.437749819,0.549676129,0.586909686,0.147917679,0.323146138,0,0.121411651,0
0.483011002,0.123900611,0.238033004,0.390800278,0.329992692,0.21516338,0.364912945,0.313300096,0.705479278,0.248569932,0.571689805,0.624055119,0.491717617,0.348684788,0.404220589,0.410680332,0.779789295,0.32720608,0.549515374,0.478423739,0.80687133,0.360870576,0.309501447,0.38048895,0.323210773,0.148066695,0
0.578081502,0.291201551,0.505661361,0.367175149,0.497105133,0.725333866,0.474813231,0.138249396,0.071397569,0.452821242,0.429854749,0.872515962,0.58035084,0.51635414,0.443090519,0.312394808,0.772625942,0.055333332,0.864299041,0.314995769,0.650290094,0.372907792,0.224377351,0.275938196,0.379624798,0.319324424,0
0.468473807,0.243231417,0.173260504,0.214184789,0.20837514,0.272979631,0.517182577,0.58657794,0.47862705,0.089805337,0.62706379,0.618395877,0.354154347,0.244219083,0.457006538,0.359084184,0.61759692,0.286760349,0.691801682,0.487568578,0.606425526,0.498926918,0.442158216,0.450819233,0.378294255,0.216666373,0
0.279951841,0.110675587,0.228372896,0.293289073,0.28280641,0.242966697,0.491525111,0.571492506,0.507323833,0.181208103,0.490444066,0.70084945,0.465109967,0.382877836,0.48711837,0.252648712,0.660443183,0.378599342,1,0.649818601,0.64376747,0.407681169,0.349170428,0.373103117,0.09460215,0.142319498,0
0.390146098,0.372575838,0.288484487,0.421761376,0.378667713,0.244010472,0.575453525,0.365700413,0.627169394,0.291120055,0.382863134,0.87336218,0.438218846,0.344837619,0.27925775,0.084104429,0.210199699,0.099495106,0.718745155,0.340404831,0.630819988,0.26778314,0.061310054,0.229897073,0.365970867,0,0
0.32659,0.105915463,0.356432803,0.387302207,0.385306139,0.420218922,0.325389561,0.356000464,0.730411037,0.253712467,0.566660022,0.716515764,0.309572633,0.33500176,0.424481728,0.303801562,0.757080406,0.135558026,0.475396249,0.443423564,0.748385894,0.24587376,0.358836391,0.556796224,0.420966882,0.242248556,0
0.376408913,0.321594344,0.331665866,0.357015008,0.377057168,0.371745644,0.549220258,0.408210914,0.503318367,0.363816299,0.353127004,0.703135843,0.332567435,0.365889677,0.44197637,0.320229637,0.598303484,0.235596166,0.701857229,0.339217008,0.743891463,0.1774835,0.360455652,0.43175492,0.592127435,0.119418349,0
0.446541654,0.271413467,0.35800182,0.38526761,0.407292118,0.384779294,0.593882582,0.385005844,0.465175621,0.459108768,0.388213854,0.612427475,0.269246681,0.377851758,0.355524604,0.519615915,0.588270576,0.149042991,0.83859139,0.256246275,0.896722856,0.089143093,0.242302291,0.46394757,0.372105693,0.032104871,0
0.356903193,0.113598954,0.208832277,0.41520543,0.319534378,0.253828302,0.323290012,0.254752468,0.716302688,0.199207893,0.74303396,0.623664479,0.560083843,0.415836066,0.581362195,0.410687833,0.707183851,0.432221842,0.564057184,0.549324043,0.683742514,0.39324729,0.424708285,0.429062311,0.362295186,0.226027598,0
0.487968012,0.189239945,0.261945466,0.388664365,0.36304948,0.235038344,0.422398117,0.461409527,0.605164857,0.301767314,0.347258052,0.630925297,0.351636618,0.415581089,0.393627238,0.278710528,0.753913218,0.37790455,0.706419933,0.373541248,0.738809697,0.177708729,0.404185907,0.354830909,0.367195825,0.247171996,0
0.554104612,0.113992918,0.252106801,0.407232874,0.361195323,0.224222039,0.343827735,0.338285354,0.68666963,0.299171251,0.552305345,0.614159279,0.491126459,0.351001163,0.543307702,0.430656354,0.628556792,0.253166099,0.53788224,0.429747796,0.650189217,0.247623781,0.265616344,0.369368099,0.452403425,0.155643219,0
