filename,chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
0v8MGxNetjg_ 10.000_ 20.000.wav,0.52020204,0.045849107,1613.2072681070715,1412.4199469367506,2908.0291748046875,0.1070194950810185,-377.00867,110.92828,-31.870615,6.6407022,-0.8315146,-4.451609,-0.19622335,-3.7763402,-5.195396,-0.6767085,-0.6668376,-7.442677,-1.042071,-0.21167783,-3.5130289,-1.7552835,-3.0297437,-2.873752,-2.084186,-4.006259,not_covid
1j1duoxdxBg_ 70.000_ 80.000.wav,0.53591967,0.0017672045,2892.900309995463,2467.7000444953173,5074.2095947265625,0.1485844364872685,-519.2981,60.83321,-13.686949,52.106445,0.02367712,-2.5801544,16.06641,-1.5136063,4.1083217,11.038373,-0.14323002,-0.8972688,7.246153,-1.7113217,3.8798735,3.6373014,3.0263813,2.439105,2.7785068,2.2092004,not_covid
1MSYO4wgiag_ 120.000_ 130.000.wav,0.49570107,0.033442184,3429.3454928688257,2788.6247365342106,6887.833658854167,0.2253146701388889,-282.54663,48.55093,-15.530038,12.70684,4.197268,-7.582499,-19.339329,-12.062806,-16.914818,13.680665,0.81893533,-6.0728354,-4.181358,0.9958035,-0.5268775,0.54494846,-8.846841,-2.9093175,-1.1150062,-5.9217405,not_covid
1PajbAKd8Kg_ 0.000_ 10.000.wav,0.40794486,0.013446356,2710.6148364541123,2664.1729916584786,5778.3253987630205,0.1420762803819444,-346.9259,75.774315,-7.6401367,11.369929,11.364984,1.8391446,-7.9596,-4.2627482,-8.286302,3.0995579,-2.8375998,5.065131,-0.28432733,0.9862601,-2.4534197,3.6917222,2.3170958,-2.0618885,-4.7798066,-0.513034,not_covid
cov1.wav,0.4194979,0.0590042,1581.1319875468223,1444.2745473506009,2926.576299252717,0.1528562936723602,-340.57166,104.13354,-32.205322,-13.6384115,-3.006712,0.48926595,-21.78917,-17.804296,-9.2478,-5.5276556,-5.3641615,-8.268665,0.96119237,-5.721938,-6.3061304,-1.1001683,-1.7928772,-2.5382962,-3.665395,-3.5825644,covid
cov2.wav,0.41107738,0.06251653,2588.027613819732,2145.801629735741,4966.0451253255205,0.1972837094907407,-341.9194,48.336533,-20.548458,18.098045,-16.14926,26.623495,-12.104097,-15.420532,-22.6216,-10.579588,-14.631243,-13.193798,-4.2880282,-12.152697,-5.917758,-9.498706,-5.771673,-12.553815,-14.746587,-5.8560157,covid
cough-shallow-3CwioNQVDBQ6CttLyFVRJpMpVHk2.wav,0.44137657,0.007606036,2080.625329890532,2395.265722886477,4954.509171195652,0.1091414741847826,-355.1338,105.44903,-4.3263164,16.073126,-12.426582,16.466995,-20.445553,-10.958891,-6.8330903,-13.056872,-7.093513,-7.9337025,-12.521332,-8.411143,-7.298592,0.4469081,-11.754906,-6.767385,-15.617129,-7.761575,covid
pos-0421-084-cough-m-50.wav,0.42446908,0.030156251,1874.1524346519943,1868.235099481596,3815.912882486979,0.1104826750578703,-436.97656,57.27324,-3.1057553,9.518655,-7.6854024,0.9128014,-10.634791,-7.9153175,-12.532554,-2.9522421,2.407458,-6.689236,-3.5944324,-6.0637197,0.21976994,-4.8653226,-6.6251106,-4.521542,-5.509906,-5.9957333,covid
cough-heavy-6T43bddKoKfG7MwnJWvrPZSsyrc2.wav,0.47391957,0.07059329,3054.1827439039,1796.1455414572004,5009.145818280347,0.3363072389812139,-367.4922,27.239416,-84.4905,39.251728,-19.608345,18.48803,-3.4253454,7.9527645,-10.133783,-7.8166237,2.0585299,-17.144697,6.450436,-12.547796,-4.876093,-4.545387,-9.703171,-7.492913,-3.6404517,0.1002937,covid
cough-heavy-hNAGUEhL2Nh7V89at3yFEjQYo6c2.wav,0.4194979,0.0590042,1581.1319875468223,1444.2745473506009,2926.576299252717,0.1528562936723602,-340.57166,104.13354,-32.205322,-13.6384115,-3.006712,0.48926595,-21.78917,-17.804296,-9.2478,-5.5276556,-5.3641615,-8.268665,0.96119237,-5.721938,-6.3061304,-1.1001683,-1.7928772,-2.5382962,-3.665395,-3.5825644,covid
cough-heavy-hte8VptUoGVFEqvHpbh5brgfcNP2.wav,0.30934685,0.026950028,1804.388323916948,1612.697354090478,3421.436564127604,0.122314453125,-356.9894,101.45515,-28.474022,-0.34416565,-14.4752445,6.3168726,-12.748644,-4.7243004,-7.377308,-10.817079,-3.2931921,-4.7485266,10.781029,0.694577,-5.093958,-3.6155264,-5.156161,-4.791159,-13.064963,-6.228745,covid
cough-shallow-QjBZv868nydJzk0ZzwgKDHSG6Q82.wav,0.37006444,0.090211585,2077.8049568516158,1927.673723564479,4134.674072265625,0.1226264105902777,-303.77203,66.24389,-13.149079,15.709808,-23.537992,18.56787,-14.955672,-8.284855,-20.240505,-19.130457,-24.953857,-15.479501,1.8049833,-11.567767,-5.5178137,-7.4271917,-15.61039,-8.813783,-4.079649,-11.25316,covid
pos-0421-092-cough-m-53.wav,0.33784145,0.02578689,2402.655995726684,1857.3432542461965,4217.417399088542,0.1965558087384259,-462.02722,64.605675,0.11511965,10.268017,-8.097078,7.45857,-25.42716,-9.214074,-11.277841,-8.240181,1.3169962,-14.072064,-5.957871,-7.450595,-1.6861925,-8.012408,-4.841922,0.49709156,-2.2780268,-2.66722,covid
pos-0422-096-cough-m-31.wav,0.36589354,0.0777994,2286.883986377852,1782.6356646942354,4151.6713460286455,0.1755710177951389,-320.40515,73.5584,-29.047024,26.315401,-26.048042,6.5067377,-23.561817,-6.294622,-10.210566,-7.424581,-6.307288,-10.211919,1.2628096,-11.60273,-1.8435758,-9.892084,-4.7726316,-3.057918,3.4002697,-7.007076,covid
pos-0421-094-cough-m-51.wav,0.40278026,0.06577822,2407.1766095372195,1850.5168337906568,4380.760701497396,0.1814891673900463,-292.15076,69.57103,-33.944614,40.194057,-23.104013,0.07310302,-28.734568,-5.1440268,-15.527649,2.4458597,-6.770332,-13.55505,5.5984983,-14.902576,3.1369734,-12.318207,-9.048323,-2.1477077,-3.886913,-10.084786,covid
cough-shallow-hNAGUEhL2Nh7V89at3yFEjQYo6c2.wav,0.35476393,0.027681416,1742.4265047607216,1932.1860145791345,3744.0463033536585,0.1359422637195122,-463.2612,47.229153,-1.7170029,2.3227944,6.7159553,0.88180584,-5.084325,-1.574893,-1.5827128,-2.9506009,-1.0790639,-2.6428099,-3.1277204,-3.2420726,-3.7974494,-3.9735894,-2.442209,-3.1355364,-4.2124,-3.231351,covid
pos-0421-086-cough-m-65.wav,0.42605874,0.04590622,1981.2609871904529,1863.062524198192,4059.7564697265625,0.1184647171585648,-400.55832,82.51791,-15.948558,17.2189,-26.47869,1.3270472,-21.99925,-1.6310828,-13.141837,-9.503776,1.1138606,-4.743401,1.3712529,-10.218298,-2.0041752,-9.869281,-3.2213373,-5.2583017,-4.0403333,-2.4760363,covid
pos-0421-087-cough-f-40.wav,0.45998666,0.02776158,1913.2559571615768,1892.7339871079837,4002.2847493489594,0.1139571578414351,-450.34042,61.531487,-5.5369654,16.884499,-9.322832,0.20191108,-10.691822,-7.701307,-3.9354794,-1.963397,-4.858679,-9.538855,-3.9644785,-8.000938,-4.902997,-7.975529,-8.217473,-4.8350167,-1.2289431,-5.7310576,covid
cough-heavy-3CwioNQVDBQ6CttLyFVRJpMpVHk2.wav,0.62002015,0.0044348184,2440.564981189585,2482.5885619630494,5395.86181640625,0.1576741536458333,-366.2401,95.40458,-12.598877,10.822473,-13.23024,19.89115,-18.92771,-8.732099,-2.9824781,-9.291827,-4.3902135,-7.6872315,-13.707352,-2.8475142,-7.612257,0.9730856,-9.461118,1.2314067,-11.364268,-5.1295,covid
cough-shallow-6T43bddKoKfG7MwnJWvrPZSsyrc2.wav,0.46335614,0.02396026,2763.3158009528315,1947.717097469991,4894.572061567164,0.3165398592972637,-455.45966,38.40345,-61.26381,31.349169,-10.228538,22.307795,2.76683,4.2363076,-7.9324307,-4.521824,0.43740666,-13.788749,2.9370081,-13.49493,-6.873529,-7.765286,-10.145505,-6.1123676,-1.6220621,-1.2727956,covid
cough-heavy-QjBZv868nydJzk0ZzwgKDHSG6Q82.wav,0.41107738,0.06251653,2588.027613819732,2145.801629735741,4966.0451253255205,0.1972837094907407,-341.9194,48.336533,-20.548458,18.098045,-16.14926,26.623495,-12.104097,-15.420532,-22.6216,-10.579588,-14.631243,-13.193798,-4.2880282,-12.152697,-5.917758,-9.498706,-5.771673,-12.553815,-14.746587,-5.8560157,covid
cough-shallow-hte8VptUoGVFEqvHpbh5brgfcNP2.wav,0.3640532,0.06561634,1912.9777934764695,1715.078016940627,3664.794158935547,0.1264826456705729,-290.88074,99.6567,-21.604187,10.014783,-10.880939,18.827093,-16.923075,-7.103293,-12.208865,-5.5568023,0.39596128,-10.505243,2.9802816,-4.694087,-1.8524023,-0.6185042,-7.9285583,-4.1185355,-8.23253,-2.0159872,covid
pos-0421-093-cough-f-24.wav,0.4138027,0.028027782,2198.675453504104,2010.928953487792,4389.3341064453125,0.1416241681134259,-440.53714,40.657497,-6.66558,19.84157,-22.116209,-3.142564,-9.840532,-5.1514926,-8.04206,-7.5694103,-6.4463634,-4.9716187,1.3321948,-5.7857113,-1.200847,-7.320805,-4.4398685,-4.777438,-6.016563,-3.8583288,covid
-jZav58HEOw_ 50.000_ 60.000.wav,0.5124059,0.03260369,3509.324002428358,2784.720694261129,6720.951334635417,0.2480920862268518,-380.6802,43.91717,-20.969595,-13.528221,-14.683474,-6.305203,-9.029258,-25.69711,-7.9325557,-10.285077,-14.037986,-9.928337,-10.198853,-6.4418793,-7.9650555,1.763443,-4.0112743,-0.6039698,0.4483555,2.7222016,not_covid
