filename,chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
-TbcaCBA0pI_ 50.000_ 60.000.wav,0.27981815,0.16486928,1957.9655214610136,1877.0512442423424,3532.392374674479,0.1047634548611111,-202.34132,80.87926,-57.582638,-26.869358,-29.818771,-12.444899,-32.779068,-11.275921,6.5034595,-10.549357,-18.610865,1.7849612,-6.173786,-2.0684588,-10.954552,-7.024291,-9.632359,-3.694077,6.100546,14.133895,not_covid
data/virufy/neg\neg-0421-089-cough-f-20-5.mp3,0.1890761405229568,0.0314859710633754,1093.1478826822772,997.3698998976724,2196.2306810461955,0.0640497622282608,-447.1556701660156,51.9432487487793,-13.562429428100586,11.817371368408203,-23.282325744628903,-1.1340360641479492,-15.44162368774414,-3.2398526668548584,-7.830138206481934,-5.949443817138672,-5.302591800689697,-6.81765604019165,0.0412964075803756,-11.268259048461914,-3.086583614349365,-3.2331058979034424,-0.3802137374877929,-5.393930435180664,-2.052809238433838,-1.3101460933685305,not_covid
8yDeG7e1-9I_ 10.000_ 20.000.wav,0.28011277,0.04803174,2397.088649461287,2240.9737145901154,4575.55643717448,0.1250813802083333,-254.43262,68.21282,-43.923332,-2.7646716,-13.833159,-21.328358,-33.736298,-16.2298,-23.801512,1.6260219,-3.581808,3.4335632,6.6749024,-4.631809,-10.000891,-14.773146,-17.860283,0.39643437,-12.3057,-8.164876,not_covid
data/virufy/neg\neg-0422-095-cough-m-53-14.mp3,0.1636388450860977,0.0323063060641288,560.6570045651608,602.3376967286144,1127.5284476902175,0.028228317481884,-468.9153747558594,54.557743072509766,-10.944406509399414,7.831990718841553,-0.0970264673233032,0.7032658457756042,-5.655828952789307,-0.1737309396266937,-11.197284698486328,-3.934972763061523,0.4878513514995575,-4.806689262390137,-2.970144510269165,-8.266185760498047,-5.018443584442139,-5.785238265991211,-3.814775466918945,-2.6600558757781982,-1.5542361736297607,-4.893855571746826,not_covid
-ej81N6Aqo4_ 0.000_ 8.000.wav,0.40045986,0.052107148,2664.429265130856,2563.5186734089384,5518.431599934896,0.1215142144097222,-290.9615,85.46466,-10.990861,10.985048,1.2313823,9.796389,0.32141918,-7.221658,-2.8238218,2.9794505,-8.841148,-4.6285667,-7.416303,-4.5068927,-7.48081,-4.8601775,-6.3345113,-5.0113444,-8.423484,-0.8457058,not_covid
data/virufy/neg\neg-0422-095-cough-m-53-7.mp3,0.1518392562866211,0.0747278854250907,790.7386268023857,777.4720336744605,1494.6851647418478,0.0422540194746376,-361.32025146484375,73.42937469482422,-27.98204040527344,10.592007637023926,-16.247894287109375,5.000350475311279,-12.819466590881348,-6.26811408996582,-16.045745849609375,-1.940222978591919,0.8143841028213501,-11.466221809387209,-5.585126876831055,-6.922048568725586,3.4970955848693848,-7.762933254241943,-3.4354686737060547,0.4962504208087921,-1.7724604606628418,-7.93978214263916,not_covid
data/virufy/neg\neg-0421-089-cough-f-20-3.mp3,0.2542827725410461,0.0277918390929698,1339.0812630940109,1156.6357039415802,2616.1281419836955,0.0871334352355072,-457.3350830078125,42.31050491333008,-15.11678409576416,13.751788139343262,-16.131994247436523,0.5081965327262878,-13.700701713562012,-1.4283511638641355,-3.78340482711792,-4.2768168449401855,-3.601393222808838,-5.403944969177246,1.103960394859314,-11.09307098388672,-4.365703105926514,-6.448307991027832,-3.196815013885498,-3.7277603149414062,-2.969155788421631,-1.2465909719467163,not_covid
4txOUgXllWE_ 300.000_ 310.000.wav,0.5143523,0.037656017,3528.6002489150032,2725.0450163208266,6565.3839111328125,0.2393617983217592,-389.87363,41.66419,-11.201461,2.0305874,-2.1728475,-10.556923,-14.811693,-8.854799,-16.4177,2.1295967,-14.599781,-7.344912,-2.3480198,-1.0380929,-3.0368607,3.8005483,-1.5320234,-0.17502947,0.76522285,0.0037364254,not_covid
data/virufy/neg\neg-0421-088-cough-f-66-6.mp3,0.2253939509391784,0.0480404235422611,1207.2980041603869,1230.8233584933753,2552.620796535326,0.0673686594202898,-399.4724731445313,62.4944953918457,-12.81246852874756,-1.825208187103272,-17.832181930541992,3.0148279666900635,-6.875200748443604,-8.709671974182129,-12.11219882965088,9.879122734069824,0.4634602963924408,-11.55573558807373,-2.348870277404785,-12.658281326293944,-2.876176118850708,-10.425186157226562,-11.031194686889648,-4.216489791870117,2.009157657623291,-1.82276713848114,not_covid
data/virufy/neg\neg-0421-088-cough-f-66-3.mp3,0.1432411521673202,0.051910426467657,812.7732425856948,785.9907786153736,1589.2440132472825,0.0433862658514492,-399.7835388183594,67.109375,-24.73829841613769,-0.1675577610731125,-23.262807846069336,1.3124938011169434,-13.510337829589844,-7.079868316650391,-16.479068756103516,7.444324493408203,-0.3828388750553131,-8.508971214294434,-1.103278875350952,-17.359973907470703,1.014530062675476,-6.869136810302734,-7.35468864440918,-3.3363161087036133,-2.217913150787353,-4.330464839935303,not_covid
