filename,chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
data/virufy/pos\pos-0421-084-cough-m-50-0.mp3,0.2538886,0.03614648,961.9873952624263,999.6760786936949,1992.1333644701087,0.04976930480072464,-452.78757,51.774307,-3.7601733,10.729361,-9.7059555,5.070224,-11.699229,-5.881073,-11.1559105,0.24323057,4.5164843,-8.548128,-4.203112,-6.063247,4.129166,-2.784652,-8.403302,-4.95015,-4.7671337,-6.3010354,covid
data/virufy/pos\pos-0421-084-cough-m-50-1.mp3,0.2939504,0.041168172,1328.4357199830267,1291.6624284411853,2779.3435801630435,0.05829653532608696,-412.73422,50.46491,-10.807041,15.590483,-9.018015,3.2598133,-13.879989,-7.6634097,-10.556204,3.926242,5.183552,-10.025906,-3.1127877,-6.185587,1.3709743,-6.1225514,-7.75193,-4.8956866,-4.416917,-5.806865,covid
data/virufy/pos\pos-0421-084-cough-m-50-2.mp3,0.22348586,0.043848537,829.8945406561814,835.9375864299053,1695.9738026494565,0.03837607563405797,-419.87997,54.97489,-12.906559,15.75389,-7.864863,1.5921453,-12.731328,-6.329932,-13.450882,1.9765548,2.6524494,-10.002909,-1.6867958,-6.8101172,0.7148964,-6.7024584,-5.5741034,-3.356037,-4.3369484,-5.239609,covid
data/virufy/pos\pos-0421-084-cough-m-50-3.mp3,0.28099915,0.04825113,1211.4961754160038,1152.4656883093478,2427.1664826766305,0.06389407835144928,-390.3521,63.005627,-18.99036,17.581512,-10.907189,2.0882556,-18.559338,-6.575305,-13.851476,0.6366726,4.8631787,-12.978557,-0.29185382,-9.126481,1.5733601,-4.254077,-8.240431,-5.187706,-6.062602,-5.2039776,covid
data/virufy/pos\pos-0421-084-cough-m-50-4.mp3,0.27547604,0.04381443,1215.9869681028867,1205.4607603296565,2481.155528192935,0.055083786231884056,-400.8126,62.268497,-16.24569,15.285645,-9.768061,-0.95455414,-18.131432,-8.8960705,-19.369106,0.3911505,7.4636345,-11.435377,0.14828624,-8.326172,2.7263112,-2.230797,-7.8170714,-3.412646,-5.8631573,-7.2641263,covid
data/virufy/pos\pos-0421-084-cough-m-50-5.mp3,0.20800787,0.047999747,938.0231107782582,969.37919308326,1897.1064028532608,0.04218325407608696,-403.61713,63.268505,-15.479022,18.18843,-10.855609,-1.3605636,-19.451147,-6.00607,-14.01833,1.0340211,2.441964,-12.407786,1.0185812,-7.7093205,2.0800688,-5.201087,-6.287007,-4.227907,-5.575504,-4.308343,covid
data/virufy/pos\pos-0421-084-cough-m-50-6.mp3,0.3251786,0.050438806,1296.436629957807,1350.2972643191174,2691.4943529211955,0.05836730072463768,-400.26334,65.37136,-10.880086,19.066772,-10.820366,1.0496553,-18.763077,-3.8208542,-11.71244,-0.017928302,2.7661254,-13.417125,-1.2695152,-9.182013,1.1648622,-5.0379796,-7.629598,-6.9829226,-7.0627894,-5.463352,covid
data/virufy/pos\pos-0421-084-cough-m-50-7.mp3,0.19496936,0.054763585,853.3265464379443,801.3306275946782,1730.9262483016305,0.046323029891304345,-383.21307,58.16749,-24.574657,16.18956,-15.180317,1.6275935,-16.060751,-2.3831713,-12.732378,0.93329966,5.186584,-12.978527,-0.12966958,-8.502338,0.84960604,-5.515317,-7.3036075,-6.067671,-5.781034,-2.0473382,covid
data/virufy/pos\pos-0421-086-cough-m-65-0.mp3,0.3608262,0.02654392,1576.8586211330708,1409.3719765301294,3309.7157353940215,0.0930564990942029,-483.04105,46.71495,-7.238645,16.683966,-15.075878,7.58621,-14.112646,5.99879,-6.8676925,-4.3368006,-0.82544464,-2.169301,3.9639268,-4.6147895,1.1903834,-8.127892,-0.9038532,-5.225157,-3.553742,-2.7011278,covid
data/virufy/pos\pos-0421-086-cough-m-65-1.mp3,0.17096028,0.04098716,1083.534363007109,892.6008529402623,2116.3393766983695,0.06039826766304348,-456.16803,44.877106,-21.141142,8.160145,-23.966011,4.9436703,-14.527567,6.6405144,-8.080386,-7.538146,1.2488598,-1.771897,2.3949802,-9.132474,-2.4805024,-8.2990265,0.8753053,-3.7604551,-2.3968656,-0.29505104,covid
