filename,chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,mfcc_delta_1,mfcc_delta_2,mfcc_delta_3,mfcc_delta_4,mfcc_delta_5,mfcc_delta_6,mfcc_delta_7,mfcc_delta_8,mfcc_delta_9,mfcc_delta_10,mfcc_delta_11,mfcc_delta_12,mfcc_delta_13,mfcc_delta_14,mfcc_delta_15,mfcc_delta_16,mfcc_delta_17,mfcc_delta_18,mfcc_delta_19,mfcc_delta_20,mfcc_delta2_1,mfcc_delta2_2,mfcc_delta2_3,mfcc_delta2_4,mfcc_delta2_5,mfcc_delta2_6,mfcc_delta2_7,mfcc_delta2_8,mfcc_delta2_9,mfcc_delta2_10,mfcc_delta2_11,mfcc_delta2_12,mfcc_delta2_13,mfcc_delta2_14,mfcc_delta2_15,mfcc_delta2_16,mfcc_delta2_17,mfcc_delta2_18,mfcc_delta2_19,mfcc_delta2_20,label
0v8MGxNetjg_,0.519950747,0.045852661,1612.895795,1411.838677,2907.580566,0.107019495,-376.8760071,111.0173721,-31.90401268,6.622255325,-0.816812992,-4.456445217,-0.198702455,-3.759592772,-5.181573391,-0.665209174,-0.656474531,-7.439711571,-1.034579515,-0.203083888,-3.51349473,-1.745704651,-3.011877537,-2.878482342,-2.106426716,-4.026825428,0.765813589,0.019831844,-0.147842899,0.144833252,-0.02096126,-0.004944567,-0.062882185,0.04169834,-0.033502277,-0.011751007,0.040797278,0.039145336,-0.030704586,-0.036423221,0.018393131,0.008136575,0.014233422,0.009808023,0.013219463,0.008950448,0.523667276,0.01864866,-0.119473979,0.049008902,-0.039140321,0.002875757,-0.013309598,0.039286319,-0.004590283,0.012828099,0.007039651,-0.005566498,0.009769208,0.02691745,0.012234825,-0.016079392,-0.005080943,-0.007982259,0.00577762,0.008249901,not_covid
1j1duoxdxBg_,0.535472155,0.001770617,2892.087076,2467.408141,5072.664388,0.148584436,-519.1584473,60.78128433,-13.72288418,52.1454277,0.051049691,-2.534909964,16.10362053,-1.49458003,4.123252392,11.03088379,-0.156306654,-0.909972489,7.216460228,-1.719629407,3.903020859,3.653039455,3.043881655,2.439957142,2.781968355,2.195161581,-0.475120604,0.20114705,0.258679181,-0.195475921,0.018094026,-0.015716676,0.07068406,-0.04681322,-0.04132802,-0.000602168,0.030349182,-0.009303248,-0.032283548,0.041294433,-0.015645172,-0.0124851,0.005300608,-0.030903503,0.039955951,-0.011790214,-0.074332923,0.035676342,0.020362906,-0.015451485,0.002948058,0.034785915,0.064185791,0.017239869,0.009598481,0.014058305,0.020766351,-0.012801998,-0.043971442,-0.005799519,0.003201415,-0.001450311,0.02934326,0.033534627,0.012023795,-0.005232796,not_covid
1MSYO4wgiag_,0.496666104,0.033656985,3429.061935,2788.634413,6886.288452,0.22531467,-282.2979126,48.5816803,-15.52236748,12.71072292,4.199979782,-7.577727318,-19.32419205,-12.03764629,-16.90148354,13.69396496,0.82961458,-6.066336632,-4.167640209,1.017302394,-0.523806393,0.538693011,-8.855953217,-2.927976847,-1.118561864,-5.906226635,0.22724618,0.322095335,0.261283159,-0.014655329,-0.214178056,-0.125114068,-0.0519486,0.053614978,0.173921555,-0.028787484,0.102293052,-0.031194996,-0.08798518,0.006175701,-0.021445937,0.040258337,-0.141543195,-0.054027013,0.027966728,-0.009668819,0.062004231,-0.060479209,0.093177527,0.056577321,0.015663836,0.03117918,0.089112565,0.051702186,0.057459708,0.045692667,0.018191639,0.052410349,0.022696707,-0.035876755,-0.008525864,0.019750524,0.110067263,0.036321856,-0.002661954,0.011347932,not_covid
1PajbAKd8Kg_,0.407548964,0.013452007,2710.811637,2664.28755,5778.474935,0.14207628,-346.8572998,75.76561737,-7.648193359,11.36212158,11.3654747,1.842425585,-7.957006454,-4.264208317,-8.283969879,3.105164051,-2.838680506,5.053117752,-0.291307509,0.987186015,-2.447526217,3.692367077,2.312327862,-2.059656143,-4.772598743,-0.503851354,1.820762873,0.381446034,0.069721557,0.035094436,0.072124928,0.007991747,-0.007044545,0.022665057,-0.062478758,-0.014294613,-0.010977511,0.021505259,-0.038742535,-0.009668916,0.019135846,0.042032719,0.016803345,-0.010424846,0.015369355,0.036682438,-0.265859663,-0.031323645,0.066657811,-0.06404236,-0.017425723,0.002648228,0.045365531,0.021434011,-0.011840226,-0.009884574,0.003985871,-0.025675062,-0.019386141,-0.022442937,0.003589922,0.007788342,0.007400294,-0.010279006,-0.008091862,0.003352463,not_covid
cov1,0.41269657,0.059003852,1555.648634,1418.599932,2870.737092,0.133998326,-340.5880127,104.1567001,-32.22844315,-13.61536217,-3.029664516,0.512090147,-21.81183815,-17.78181267,-9.270073891,-5.505613804,-5.385944366,-8.247168541,0.940005958,-5.701086998,-6.326630116,-1.080039859,-1.812609196,-2.51898551,-3.684266329,-3.564145565,0.006854893,0.009620998,0.009400101,0.009037243,0.008540015,0.007919673,0.007190941,0.006371951,0.005484006,0.004550496,0.003596173,0.002645765,0.001722645,0.000847597,3.78E-05,-0.000693455,-0.001337373,-0.001889087,-0.002347028,-0.002712315,-0.006637011,-0.009249847,-0.008844553,-0.008180368,-0.007274038,-0.006148436,-0.004832043,-0.003358167,-0.001764246,-9.08E-05,0.001619602,0.003323091,0.004976071,0.006535933,0.007962418,0.009218528,0.010271572,0.01109391,0.011663985,0.011966631,covid
cov2,0.411223054,0.062716424,2583.166934,2139.571025,4960.213216,0.195427789,-341.6690063,48.31515884,-20.56740952,18.05030441,-16.14284897,26.60390854,-12.09328842,-15.43526649,-22.63595772,-10.5868082,-14.64215755,-13.20374107,-4.272643089,-12.16137028,-5.901212215,-9.495268822,-5.752599716,-12.5530777,-14.74346066,-5.856838703,1.785153985,-0.308967233,-0.554805815,-0.045073714,-0.33672455,0.319475532,-0.044658858,-0.052921906,-0.102966994,0.022336325,-0.051281452,0.031489782,-0.110174701,-0.1202631,-0.013050437,0.021354314,-0.111791834,-0.158276677,0.034056574,-0.057979874,0.416433185,0.079996139,-0.025604917,0.016028007,0.001118843,0.024377406,0.004997547,0.044679545,0.051611081,0.06421297,0.042632431,0.00987403,0.061759219,0.026685027,0.009411993,0.03060616,0.026649598,0.02421153,-0.001084116,0.008084468,covid
cough-shallow-3CwioNQVDBQ6CttLyFVRJpMpVHk2,0.434887499,0.007785665,2072.981248,2381.560624,4941.870117,0.086531929,-352.8711243,106.1250839,-5.234629154,17.11799812,-13.15810776,17.44229698,-21.3316021,-10.11855412,-7.896807671,-12.17444515,-7.906351566,-6.883116245,-13.23651028,-7.681480885,-8.179978371,1.332158804,-12.48445606,-6.152116299,-16.21385002,-6.940215588,2.614141703,-0.419090271,-1.554332256,0.103937335,-1.002906919,-0.36138472,-0.75870043,-0.715149701,0.234878123,-0.39406693,-0.100444131,-0.221181586,0.119836152,-0.639343858,-0.013579677,-0.507895827,-0.184451357,0.120252855,-0.258792877,-0.133501768,-3.054549932,0.925391793,0.226773784,0.157583058,0.228404254,0.0523494,0.624557793,0.481627494,0.140910506,0.348875135,0.266239554,-0.080606937,-0.100756459,-0.287317932,0.210562482,0.264865965,0.546204388,0.153810859,0.153678656,0.102823436,covid
pos-0421-084-cough-m-50,0.420671344,0.03017102,1846.500366,1846.403105,3766.565959,0.109831633,-436.9234619,57.27851868,-3.100973845,9.521533966,-7.685150146,0.912914991,-10.63609695,-7.915723801,-12.53314686,-2.952210665,2.407271862,-6.689751625,-3.594997644,-6.064612389,0.219622344,-4.865090847,-6.623952866,-4.520339966,-5.508700848,-5.995492935,0.199528381,0.113902949,-0.029887358,-0.025544656,-0.051823385,-0.017651333,-0.013456168,-0.018008238,0.012089251,0.005986788,0.039576594,0.033160407,-0.035507862,-0.056661353,-0.033782545,-0.001750264,-0.040485594,-0.058579087,0.003575919,-0.004491671,-0.214718208,-0.158639967,-0.001190481,-0.051514056,-0.055938449,0.03760466,0.043985043,0.045714088,0.069148436,0.025815526,0.022241456,0.053510815,0.003908029,-0.031759124,0.009916674,0.014230037,-0.020470811,-0.0037732,0.020377815,0.004179758,covid
cough-heavy-6T43bddKoKfG7MwnJWvrPZSsyrc2,0.472825021,0.070594445,3048.247566,1789.17763,4997.507931,0.323078486,-367.3935547,27.25025749,-84.5160675,39.2872467,-19.60972214,18.51053238,-3.435470343,7.919528008,-10.1303215,-7.816190243,2.063077927,-17.15857506,6.437907696,-12.56119633,-4.894081116,-4.535070419,-9.711328506,-7.495489597,-3.640197039,0.074317284,0.630596697,0.147067025,-0.129471004,0.223813891,-0.023483077,0.026557967,-0.002535393,-0.148932859,-0.063432142,-0.000907534,-0.031357795,-0.111007594,-0.004840355,-0.068587713,-0.101512663,0.032157712,-0.100857124,-0.068066031,-0.02144143,-0.106177934,-0.605143785,-0.1075738,0.257859796,-0.299185365,-0.129763052,0.162392542,0.011134656,-0.034045406,0.063411996,0.054092452,0.037422895,0.040205378,-0.037381828,0.004535733,0.023823598,-0.044823635,0.006109001,0.027373413,0.007559136,0.003776772,covid
cough-heavy-hNAGUEhL2Nh7V89at3yFEjQYo6c2,0.41269657,0.059003852,1555.648634,1418.599932,2870.737092,0.133998326,-340.5880127,104.1567001,-32.22844315,-13.61536217,-3.029664516,0.512090147,-21.81183815,-17.78181267,-9.270073891,-5.505613804,-5.385944366,-8.247168541,0.940005958,-5.701086998,-6.326630116,-1.080039859,-1.812609196,-2.51898551,-3.684266329,-3.564145565,0.006854893,0.009620998,0.009400101,0.009037243,0.008540015,0.007919673,0.007190941,0.006371951,0.005484006,0.004550496,0.003596173,0.002645765,0.001722645,0.000847597,3.78E-05,-0.000693455,-0.001337373,-0.001889087,-0.002347028,-0.002712315,-0.006637011,-0.009249847,-0.008844553,-0.008180368,-0.007274038,-0.006148436,-0.004832043,-0.003358167,-0.001764246,-9.08E-05,0.001619602,0.003323091,0.004976071,0.006535933,0.007962418,0.009218528,0.010271572,0.01109391,0.011663985,0.011966631,covid
